exception_type,entity_type,entity_id,discrepancy_amount,severity,reason
DUPLICATE_PAYMENT,PAYMENT,pay_NSR_1002,10024.0,CRITICAL,"Customer retried checkout payment after app response timeout, resulting in double capture."
DUPLICATE_PAYMENT,PAYMENT,pay_NSR_1004,160.0,CRITICAL,"Customer retried checkout payment after app response timeout, resulting in double capture."
DUPLICATE_PAYMENT,PAYMENT,pay_NSR_1006,1429.0,CRITICAL,"Customer retried checkout payment after app response timeout, resulting in double capture."
DUPLICATE_PAYMENT,PAYMENT,pay_NSR_1008,1879.0,CRITICAL,"Customer retried checkout payment after app response timeout, resulting in double capture."
DUPLICATE_PAYMENT,PAYMENT,pay_NSR_1010,1662.0,CRITICAL,"Customer retried checkout payment after app response timeout, resulting in double capture."
DUPLICATE_PAYMENT,PAYMENT,pay_NSR_1012,59565.0,CRITICAL,"Customer retried checkout payment after app response timeout, resulting in double capture."
DUPLICATE_PAYMENT,PAYMENT,pay_NSR_1014,699.0,CRITICAL,"Customer retried checkout payment after app response timeout, resulting in double capture."
DUPLICATE_PAYMENT,PAYMENT,pay_NSR_1016,241.0,CRITICAL,"Customer retried checkout payment after app response timeout, resulting in double capture."
DUPLICATE_PAYMENT,PAYMENT,pay_NSR_1018,26619.0,CRITICAL,"Customer retried checkout payment after app response timeout, resulting in double capture."
DUPLICATE_PAYMENT,PAYMENT,pay_NSR_1020,528.0,CRITICAL,"Customer retried checkout payment after app response timeout, resulting in double capture."
DUPLICATE_PAYMENT,PAYMENT,pay_NSR_1022,19502.0,CRITICAL,"Customer retried checkout payment after app response timeout, resulting in double capture."
DUPLICATE_PAYMENT,PAYMENT,pay_NSR_1024,148001.0,CRITICAL,"Customer retried checkout payment after app response timeout, resulting in double capture."
DUPLICATE_PAYMENT,PAYMENT,pay_NSR_1026,72759.0,CRITICAL,"Customer retried checkout payment after app response timeout, resulting in double capture."
DUPLICATE_PAYMENT,PAYMENT,pay_NSR_1028,40622.0,CRITICAL,"Customer retried checkout payment after app response timeout, resulting in double capture."
DUPLICATE_PAYMENT,PAYMENT,pay_NSR_1030,604.0,CRITICAL,"Customer retried checkout payment after app response timeout, resulting in double capture."
DUPLICATE_PAYMENT,PAYMENT,pay_NSR_1032,548.0,CRITICAL,"Customer retried checkout payment after app response timeout, resulting in double capture."
DUPLICATE_PAYMENT,PAYMENT,pay_NSR_1034,426.0,CRITICAL,"Customer retried checkout payment after app response timeout, resulting in double capture."
DUPLICATE_PAYMENT,PAYMENT,pay_NSR_1036,1057.0,CRITICAL,"Customer retried checkout payment after app response timeout, resulting in double capture."
DUPLICATE_PAYMENT,PAYMENT,pay_NSR_1038,19595.0,CRITICAL,"Customer retried checkout payment after app response timeout, resulting in double capture."
DUPLICATE_PAYMENT,PAYMENT,pay_NSR_1040,422.0,CRITICAL,"Customer retried checkout payment after app response timeout, resulting in double capture."
PARTIAL_PAYMENT,PAYMENT,pay_NSR_1041,5590.5,HIGH,Partial capture recorded against full order amount.
PARTIAL_PAYMENT,PAYMENT,pay_NSR_1042,128.7,HIGH,Partial capture recorded against full order amount.
PARTIAL_PAYMENT,PAYMENT,pay_NSR_1043,252.6,HIGH,Partial capture recorded against full order amount.
PARTIAL_PAYMENT,PAYMENT,pay_NSR_1044,1280.1,HIGH,Partial capture recorded against full order amount.
PARTIAL_PAYMENT,PAYMENT,pay_NSR_1045,2223.0,HIGH,Partial capture recorded against full order amount.
PARTIAL_PAYMENT,PAYMENT,pay_NSR_1046,20849.1,HIGH,Partial capture recorded against full order amount.
PARTIAL_PAYMENT,PAYMENT,pay_NSR_1047,37183.5,HIGH,Partial capture recorded against full order amount.
PARTIAL_PAYMENT,PAYMENT,pay_NSR_1048,42.6,HIGH,Partial capture recorded against full order amount.
PARTIAL_PAYMENT,PAYMENT,pay_NSR_1049,417.3,HIGH,Partial capture recorded against full order amount.
PARTIAL_PAYMENT,PAYMENT,pay_NSR_1050,175.8,HIGH,Partial capture recorded against full order amount.
PARTIAL_PAYMENT,PAYMENT,pay_NSR_1051,17226.9,HIGH,Partial capture recorded against full order amount.
PARTIAL_PAYMENT,PAYMENT,pay_NSR_1052,89.1,HIGH,Partial capture recorded against full order amount.
PARTIAL_PAYMENT,PAYMENT,pay_NSR_1053,7065.0,HIGH,Partial capture recorded against full order amount.
PARTIAL_PAYMENT,PAYMENT,pay_NSR_1054,1674.0,HIGH,Partial capture recorded against full order amount.
PARTIAL_PAYMENT,PAYMENT,pay_NSR_1055,200.7,HIGH,Partial capture recorded against full order amount.
OVERPAYMENT,PAYMENT,pay_NSR_1056,500.0,MEDIUM,Captured payment amount exceeds ERP order total by ₹500.
OVERPAYMENT,PAYMENT,pay_NSR_1057,500.0,MEDIUM,Captured payment amount exceeds ERP order total by ₹500.
OVERPAYMENT,PAYMENT,pay_NSR_1058,500.0,MEDIUM,Captured payment amount exceeds ERP order total by ₹500.
OVERPAYMENT,PAYMENT,pay_NSR_1059,500.0,MEDIUM,Captured payment amount exceeds ERP order total by ₹500.
OVERPAYMENT,PAYMENT,pay_NSR_1060,500.0,MEDIUM,Captured payment amount exceeds ERP order total by ₹500.
OVERPAYMENT,PAYMENT,pay_NSR_1061,500.0,MEDIUM,Captured payment amount exceeds ERP order total by ₹500.
OVERPAYMENT,PAYMENT,pay_NSR_1062,500.0,MEDIUM,Captured payment amount exceeds ERP order total by ₹500.
OVERPAYMENT,PAYMENT,pay_NSR_1063,500.0,MEDIUM,Captured payment amount exceeds ERP order total by ₹500.
OVERPAYMENT,PAYMENT,pay_NSR_1064,500.0,MEDIUM,Captured payment amount exceeds ERP order total by ₹500.
OVERPAYMENT,PAYMENT,pay_NSR_1065,500.0,MEDIUM,Captured payment amount exceeds ERP order total by ₹500.
MISSING_PAYMENT,ORDER,ord_live_1046,1638.0,HIGH,Order recorded as paid in ERP but 0 payment capture record exists in gateway ledger.
MISSING_PAYMENT,ORDER,ord_live_1047,18576.0,HIGH,Order recorded as paid in ERP but 0 payment capture record exists in gateway ledger.
MISSING_PAYMENT,ORDER,ord_live_1048,422.0,HIGH,Order recorded as paid in ERP but 0 payment capture record exists in gateway ledger.
MISSING_PAYMENT,ORDER,ord_live_1049,39620.0,HIGH,Order recorded as paid in ERP but 0 payment capture record exists in gateway ledger.
MISSING_PAYMENT,ORDER,ord_live_1050,68655.0,CRITICAL,Order recorded as paid in ERP but 0 payment capture record exists in gateway ledger.
MISSING_PAYMENT,ORDER,ord_live_1051,1506.0,HIGH,Order recorded as paid in ERP but 0 payment capture record exists in gateway ledger.
MISSING_PAYMENT,ORDER,ord_live_1052,966.0,HIGH,Order recorded as paid in ERP but 0 payment capture record exists in gateway ledger.
MISSING_PAYMENT,ORDER,ord_live_1053,96179.0,CRITICAL,Order recorded as paid in ERP but 0 payment capture record exists in gateway ledger.
MISSING_PAYMENT,ORDER,ord_live_1054,253.0,HIGH,Order recorded as paid in ERP but 0 payment capture record exists in gateway ledger.
MISSING_PAYMENT,ORDER,ord_live_1055,16083.0,HIGH,Order recorded as paid in ERP but 0 payment capture record exists in gateway ledger.
MISSING_PAYMENT,ORDER,ord_live_1056,610.0,HIGH,Order recorded as paid in ERP but 0 payment capture record exists in gateway ledger.
MISSING_PAYMENT,ORDER,ord_live_1057,9757.0,HIGH,Order recorded as paid in ERP but 0 payment capture record exists in gateway ledger.
MISSING_PAYMENT,ORDER,ord_live_1058,12885.0,HIGH,Order recorded as paid in ERP but 0 payment capture record exists in gateway ledger.
MISSING_PAYMENT,ORDER,ord_live_1059,1535.0,HIGH,Order recorded as paid in ERP but 0 payment capture record exists in gateway ledger.
MISSING_PAYMENT,ORDER,ord_live_1060,1979.0,HIGH,Order recorded as paid in ERP but 0 payment capture record exists in gateway ledger.
MISSING_PAYMENT,ORDER,ord_live_1061,494.0,HIGH,Order recorded as paid in ERP but 0 payment capture record exists in gateway ledger.
MISSING_PAYMENT,ORDER,ord_live_1062,1142.0,HIGH,Order recorded as paid in ERP but 0 payment capture record exists in gateway ledger.
MISSING_PAYMENT,ORDER,ord_live_1063,633.0,HIGH,Order recorded as paid in ERP but 0 payment capture record exists in gateway ledger.
MISSING_PAYMENT,ORDER,ord_live_1064,1591.0,HIGH,Order recorded as paid in ERP but 0 payment capture record exists in gateway ledger.
MISSING_PAYMENT,ORDER,ord_live_1065,32457.0,HIGH,Order recorded as paid in ERP but 0 payment capture record exists in gateway ledger.
MISSING_PAYMENT,ORDER,ord_live_1066,55287.0,CRITICAL,Order recorded as paid in ERP but 0 payment capture record exists in gateway ledger.
MISSING_PAYMENT,ORDER,ord_live_1067,1459.0,HIGH,Order recorded as paid in ERP but 0 payment capture record exists in gateway ledger.
MISSING_PAYMENT,ORDER,ord_live_1068,53234.0,CRITICAL,Order recorded as paid in ERP but 0 payment capture record exists in gateway ledger.
MISSING_PAYMENT,ORDER,ord_live_1069,359.0,HIGH,Order recorded as paid in ERP but 0 payment capture record exists in gateway ledger.
MISSING_PAYMENT,ORDER,ord_live_1070,15306.0,HIGH,Order recorded as paid in ERP but 0 payment capture record exists in gateway ledger.
MISSING_PAYMENT,ORDER,ord_live_1071,12559.0,HIGH,Order recorded as paid in ERP but 0 payment capture record exists in gateway ledger.
MISSING_PAYMENT,ORDER,ord_live_1072,7560.0,HIGH,Order recorded as paid in ERP but 0 payment capture record exists in gateway ledger.
MISSING_PAYMENT,ORDER,ord_live_1073,69226.0,CRITICAL,Order recorded as paid in ERP but 0 payment capture record exists in gateway ledger.
MISSING_PAYMENT,ORDER,ord_live_1074,600.0,HIGH,Order recorded as paid in ERP but 0 payment capture record exists in gateway ledger.
MISSING_PAYMENT,ORDER,ord_live_1075,1388.0,HIGH,Order recorded as paid in ERP but 0 payment capture record exists in gateway ledger.
MISSING_SETTLEMENT,PAYMENT,pay_NSR_1066,401.0,HIGH,Settlement reference unavailable after expected T+2 window.
MISSING_SETTLEMENT,PAYMENT,pay_NSR_1067,1745.0,HIGH,Settlement reference unavailable after expected T+2 window.
